gene_id,CHOY-16-01,CHOY-16-04,CHOY-16-05,CHOY-16-08,CHOY-16-11,CHOY-16-12,CHOY-16-R-01,CHOY-16-R-03,CHOY-16-R-04,CHOY-16-R-05,CHOY-16-R-2
ENSAMXG00000000334,387,301,248,372,182,365,482,306,328,349,400
ENSAMXG00000000335,20,17,20,39,13,38,41,33,28,30,31
ENSAMXG00000000336,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000337,0,0,0,0,0,0,0,0,6,0,0
ENSAMXG00000000338,17,0,0,30,4,6,7,0,0,0,0
ENSAMXG00000000339,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000340,3495,3357,3891,4201,3613,5128,3582,3878,3484,2409,3257
ENSAMXG00000000341,77,23,40,61,17,65,0,15,6,0,16
ENSAMXG00000000342,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000343,9,0,0,0,0,0,0,4,0,0,0
ENSAMXG00000000344,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000345,0,0,0,0,6,7,0,0,0,0,0
ENSAMXG00000000346,0,0,14,0,16,0,17,0,0,0,0
ENSAMXG00000000347,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000348,11,8,22,67,14,0,7,17,0,17,0
ENSAMXG00000000349,497,314,213,662,270,318,656,333,278,360,415
ENSAMXG00000000350,0,0,0,0,0,0,9,7,0,0,0
ENSAMXG00000000351,0,5,2,13,4,8,0,0,0,0,0
ENSAMXG00000000352,47,46,51,66,64,80,47,89,35,50,53
ENSAMXG00000000353,21,49,52,50,56,60,9,22,33,54,16
ENSAMXG00000000354,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000355,0,0,0,0,0,0,0,0,0,0,2
ENSAMXG00000000356,86,46,44,214,54,42,220,157,143,168,194
ENSAMXG00000000357,59,34,38,38,0,82,112,49,31,107,72
ENSAMXG00000000358,0,5,12,28,15,0,0,0,3,0,0
ENSAMXG00000000359,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000360,0,0,5,0,0,12,4,7,0,0,0
ENSAMXG00000000361,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000362,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000363,54,44,29,64,8,25,9,16,24,38,28
ENSAMXG00000000364,378,189,194,188,110,287,366,260,174,319,259
ENSAMXG00000000365,72,28,55,100,34,69,65,101,25,70,89
ENSAMXG00000000366,598,299,287,483,244,297,289,328,191,209,188
ENSAMXG00000000367,385,585,315,336,252,454,499,284,222,422,252
ENSAMXG00000000368,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000369,89,68,29,82,33,80,7,14,14,10,23
ENSAMXG00000000370,172,119,98,247,153,68,97,103,57,57,54
ENSAMXG00000000371,10,16,14,51,19,24,0,0,14,10,0
ENSAMXG00000000372,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000373,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000374,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000375,31,23,13,21,11,20,21,10,24,14,33
ENSAMXG00000000376,42,34,7,14,22,41,40,12,49,33,23
ENSAMXG00000000377,183,167,94,275,192,176,87,124,107,110,127
